,date,Last,high,low,open,volume
349,2019-04-16 00:00:00+05:30,408.55,412.65,403.75,407.1,2172703
350,2019-04-18 00:00:00+05:30,406.35,413.7,395.9,409.35,2288968
351,2019-04-22 00:00:00+05:30,397.25,406.9,396.1,405,836332
352,2019-04-23 00:00:00+05:30,397.8,403,396.85,399.1,1102870
353,2019-04-24 00:00:00+05:30,400,400.9,397.3,397.6,1039080
354,2019-04-25 00:00:00+05:30,399.1,402,396.4,400.8,926294
355,2019-04-26 00:00:00+05:30,399.65,405.8,393.2,399.1,3066741
356,2019-04-30 00:00:00+05:30,404.55,406.4,395,400,2753067
357,2019-05-02 00:00:00+05:30,417.2,418,405.1,405.45,3487135
358,2019-05-03 00:00:00+05:30,414.25,419.8,401.1,402,10118251
359,2019-05-06 00:00:00+05:30,411.1,413,408,411.6,5075321
360,2019-05-07 00:00:00+05:30,409.25,412.8,406.05,412,2589598
361,2019-05-08 00:00:00+05:30,410.25,413.4,406.1,407.7,3893612
362,2019-05-09 00:00:00+05:30,409.55,411.8,407,411,3527797
363,2019-05-10 00:00:00+05:30,410.05,411.95,408.95,410.4,2393114
364,2019-05-13 00:00:00+05:30,402.65,409.95,395.25,409.95,3435597
365,2019-05-14 00:00:00+05:30,391.05,396.7,386.85,396.7,6988271
366,2019-05-15 00:00:00+05:30,388.3,394.8,387.45,390.55,1668299
367,2019-05-16 00:00:00+05:30,379.9,389.5,377.4,387.95,2766863
368,2019-05-17 00:00:00+05:30,382.55,384,374.25,379.75,2239697
369,2019-05-20 00:00:00+05:30,397.05,399,391,394,3901916
370,2019-05-21 00:00:00+05:30,403.2,404,396.05,400,2174571
371,2019-05-22 00:00:00+05:30,398.1,406,396.3,404,1088291
372,2019-05-23 00:00:00+05:30,406.3,411.75,400,405,3772524
373,2019-05-24 00:00:00+05:30,407.95,410,399.9,408,1994086
374,2019-05-27 00:00:00+05:30,422.6,423.95,406.6,409,4152835
375,2019-05-28 00:00:00+05:30,424.95,426,415.1,424,1929443
376,2019-05-29 00:00:00+05:30,425.65,426.9,416.45,425,2095188
377,2019-05-30 00:00:00+05:30,435.6,437,423.4,425,2306375
378,2019-05-31 00:00:00+05:30,441.65,445,436.05,437,2807954
379,2019-06-03 00:00:00+05:30,444,452,441,442,3134716
380,2019-06-04 00:00:00+05:30,442.7,445,435.3,442.5,1252624
381,2019-06-06 00:00:00+05:30,442.25,451.8,440,441.15,1596991
382,2019-06-07 00:00:00+05:30,451.4,453,434.75,444.95,1902550
383,2019-06-10 00:00:00+05:30,450.15,454,442.25,453,1453151
384,2019-06-11 00:00:00+05:30,445.3,450.15,444.5,450,895285
385,2019-06-12 00:00:00+05:30,440.95,449.4,440.1,446,641601
386,2019-06-13 00:00:00+05:30,452,453.65,440.5,444.8,1796357
387,2019-06-14 00:00:00+05:30,448.15,459.9,445.15,454.7,1478647
388,2019-06-17 00:00:00+05:30,443.35,450.95,440.1,449.5,985932
389,2019-06-18 00:00:00+05:30,441.7,445.15,440.05,443.35,913332
390,2019-06-19 00:00:00+05:30,437.15,445.2,436.1,443,959725
391,2019-06-20 00:00:00+05:30,440.45,442,429.45,436.05,881140
392,2019-06-21 00:00:00+05:30,438.15,443.9,436.15,438.1,978609
393,2019-06-24 00:00:00+05:30,440.1,442.25,435.6,438.55,479020
394,2019-06-25 00:00:00+05:30,437.5,442.2,436,440.1,1034858
395,2019-06-26 00:00:00+05:30,441.75,446.35,437,438,2378103
396,2019-06-27 00:00:00+05:30,455.15,456.85,439.05,443.9,2356422
397,2019-06-28 00:00:00+05:30,464.05,470.65,456.35,457.95,4027131
398,2019-07-01 00:00:00+05:30,469.5,478.75,467.25,471,2471465
399,2019-07-02 00:00:00+05:30,469.8,477,468.6,469,1540850
400,2019-07-03 00:00:00+05:30,479.25,484.95,470.2,471.9,2400197
401,2019-07-04 00:00:00+05:30,489.1,491.5,479.7,481.5,2192930
402,2019-07-05 00:00:00+05:30,473.75,494.9,469.2,491.2,2788311
403,2019-07-08 00:00:00+05:30,462.75,468.2,447.65,463.7,2834536
404,2019-07-09 00:00:00+05:30,455.75,465.6,453.1,465.4,2053510
405,2019-07-10 00:00:00+05:30,455.75,460,454.1,458,790156
